Upon his return , he discovered the betrayal and promptly excommunicated all the priests involved .	À son retour , il découvrit la trahison et a promptement excommunié tous les prêtres impliqués .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-9 10-11 11-12 12-13 13-14 14-15 15-16
With Jesus ’ sacrifice on the cross , the sins of humans were forgiven , but their sinful nature was not eradicated .	Avec le sacrifice de Jésus sur la croix , les péchés des humains furent pardonnés , mais leur nature pécheresse n' avait pas été éradiquée .	0-0 1-4 2-3 3-1 3-2 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-19 18-18 19-21 19-23 20-20 20-22 21-24 22-25
After the war he entered politics .	Après la guerre , il entre en diplomatie .	0-0 1-1 2-2 3-4 4-5 5-7 6-8
These common priorities are then taken up in the Employment Guidelines and incorporated into the National Reform Programmes prepared by the individual Member States .	Ces priorités communes sont reprises dans les lignes directrices pour l’ emploi et sont intégrées aux programmes d’ action nationaux préparés par chaque État membre .	0-0 1-2 2-1 3-3 5-4 6-4 7-5 8-6 9-9 9-10 9-11 10-7 10-8 11-12 12-13 12-14 13-15 14-15 15-19 16-17 16-18 17-15 17-16 19-20 19-21 20-22 21-22 22-24 23-23 24-25
Greek olives and olive oil were exported to all parts of the Empire .	Les olives grecques et l' huile d' olive ont été exportées dans tout l' Empire .	0-2 1-0 1-1 2-3 3-6 3-7 4-4 4-5 5-8 5-9 6-10 7-11 8-12 9-12 10-12 11-13 12-14 13-15
The Lisbon Treaty extends the term of office of CoR members from four to five years .	Le traité de Lisbonne porte le mandat des membres du CdR à cinq ans , au lieu de quatre .	0-0 1-2 1-3 2-1 3-4 4-4 5-6 6-6 7-6 8-7 9-10 10-8 11-15 11-16 11-7 12-18 13-11 15-13 16-19
It seems that Nowadays the language is almost extinct .	Il semble que la langue ait à peu près disparu aujourd'hui .	0-0 1-1 2-2 3-10 4-3 5-4 6-5 7-6 7-7 7-8 8-9 9-11
The ESF is managed through seven - year programming cycles .	Le FSE est géré selon des programmes cycliques de sept ans .	0-0 1-1 2-2 3-3 4-4 5-9 7-8 7-10 8-5 8-6 9-7 10-11
The film is based on a true story .	Le film est basé sur une histoire vraie .	0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-6 8-8
The Solar System has been relatively well - studied , initially through telescopes and then later by spacecraft .	Le Système solaire a été relativement bien étudié , d' abord à l' aide de télescopes puis aux moyens de sondes spatiaux .	0-0 1-2 2-1 3-3 4-4 5-5 6-6 8-7 9-8 10-9 10-10 11-11 11-12 11-13 11-14 12-15 13-16 14-16 15-16 16-17 16-18 16-19 17-20 17-21 18-22
Due to the question and answer sets , both authorities can communicate in their own language .	Grâce aux séries de questions-réponses , les deux autorités peuvent communiquer dans leur propre langue .	0-0 1-1 2-1 3-3 3-4 5-4 6-2 7-5 8-7 9-6 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15
The unusually high concentration of oxygen gas on Earth is the result of the oxygen cycle .	La concentration importante et inhabituelle de dioxygène sur Terre est le résultat des cycles de l' oxygène .	0-0 1-4 2-2 3-1 4-5 5-6 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-12 14-14 14-15 14-16 15-12 15-13 16-17
Twelve foreign nationals were killed in the conflict , principally journalists and Bulgarian truck drivers .	Douze étrangers furent tués durant le conflit , principalement des journalistes et des camionneurs Bulgares .	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 10-10 11-11 12-14 13-13 14-12 14-13 15-15
During the autumn of 2001 , Princess lived in London , where she studied English .	Au cours de l' automne 2001 , la princesse a vécu à Londres où elle a étudié l' anglais .	0-0 0-1 0-2 1-3 2-4 4-5 5-6 6-7 6-8 7-9 7-10 8-11 9-12 10-13 12-14 13-15 13-16 14-17 14-18 15-19
A total score of ≤ 2 indicates mild croup .	Un score total de ≤ 2 indique un croup léger .	0-0 1-2 2-1 3-3 4-4 5-5 6-6 7-9 8-7 8-8 9-10
The Allies decided to launch a two - stage invasion .	Les Alliés décidèrent alors de lancer une invasion en deux temps .	0-0 1-1 2-2 3-4 4-5 5-6 6-9 8-10 9-7 10-11
It uses two keys , a public key and a private key .	Il a deux clés : une clé privée et une clé publique .	0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-6 8-8 9-9 10-11 11-10 12-12
It can stay under water for up to 40 minutes .	Il peut rester jusqu' à 40 minutes sous l' eau .	0-0 1-1 2-2 3-7 4-8 4-9 6-3 7-4 8-5 9-6 10-10
Some sharks lose more than 30,000 teeth in their lifetime .	Certains requins perdent plus de 30000 dents durant leur vie .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10
While the rebellion was slowly being defeated , it was equally clear that colonial rule from Britain was no longer sustainable .	Alors que la rébellion est lentement défaite , il est cependant tout aussi clair que la domination coloniale de la Grande-Bretagne n' est plus possible .	0-0 0-1 1-2 2-3 3-4 4-5 5-4 6-6 7-7 8-8 9-9 10-11 10-12 11-13 12-14 13-17 14-15 14-16 15-18 16-19 16-20 17-22 18-21 19-23 20-24 21-25
All candidates have to be approved by the Guardian Council .	Tous les candidats doivent avoir été approuvés par le Conseil des Gardiens .	0-0 1-1 1-2 2-3 3-3 4-4 4-5 5-6 6-7 7-8 8-10 8-11 9-9 10-12
The state 's capital is Baton Rouge , and its largest city is New Orleans .	Sa capitale est Baton Rouge et sa plus grande ville est La Nouvelle-Orléans .	0-0 3-1 4-2 5-3 6-4 8-5 9-6 10-7 10-8 11-9 12-10 13-12 14-11 14-12 15-13
The first meeting of the new Parliament took place on 12 May 1999 .	La première séance du parlement a eu lieu le 12 mai 1999 .	0-0 1-1 2-2 3-3 4-3 6-4 7-5 7-6 8-7 10-8 10-9 11-10 12-11 13-12
He believed that his priests were more than adequate for the needs of the Ukrainian population .	Il croyait que ces prêtres étaient plus que qualifiés pour répondre aux besoins de la population ukrainienne .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-11 11-12 12-13 13-14 14-16 15-15 16-17
A practical example of an information request is when a German teacher would like to continue his activities in Portugal .	Un exemple pratique d’ une demande d’ information : un professeur allemand souhaite poursuivre son activité au Portugal .	0-0 1-2 2-1 3-3 4-4 5-6 5-7 6-5 7-8 8-8 9-9 10-11 11-10 12-12 13-12 14-13 15-13 16-14 17-15 18-16 19-17 20-18
There is also a small airport .	Il y a également un petit aéroport .	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7
A peace between the Duchy and the Eastern Empire was signed in 680 .	En 680 la paix est signée entre le duché et l' Empire d' Orient .	0-2 1-3 2-6 3-7 4-8 5-9 6-10 7-12 7-13 8-11 9-4 10-5 11-0 12-1 13-14
This fear is not without grounds .	Cette appréhension n' est pas sans fondement .	0-0 1-1 2-3 3-2 3-4 4-5 5-6 6-7
The palazzo is now the largest museum complex in Florence .	Le palais Pitti est aujourd'hui le plus grand ensemble de musées de Florence .	0-0 1-1 2-3 3-4 4-5 5-6 5-7 6-9 6-10 7-8 8-11 9-12 10-13
The French chemist Antoine Laurent Lavoisier later claimed to have discovered the new substance independently .	Le chimiste français Antoine Laurent Lavoisier déclare plus tard avoir découvert cette nouvelle substance indépendamment .	0-0 1-2 2-1 3-3 4-4 5-5 6-7 6-8 7-6 8-9 9-9 10-10 11-11 12-12 13-13 14-14 15-15
Estonia has won the contest once in 2001 with the song " Everybody " performed by Tanel Padar , Dave Benton and 2XL .	L' Estonie a remporté le concours à une reprise , en 2001 , avec la chanson Everybody , interprétée par Tanel Padar , Dave Benton et 2XL .	0-0 0-1 1-2 2-3 3-4 4-5 5-6 5-7 5-8 6-10 7-11 8-13 9-14 10-15 12-16 14-18 15-19 16-20 17-21 18-22 19-23 20-24 21-25 22-26 23-27
So Jesus has two natures , one human and one divine .	Le Christ est constitué de deux natures , une nature humaine et une nature divine .	1-0 1-1 2-2 2-3 2-4 3-5 4-6 5-7 6-8 6-9 7-10 8-11 9-12 9-13 10-14 11-15
And he owned many Real Estate properties .	Il acquiet de nombreux biens immobiliers .	1-0 2-1 3-3 4-5 5-5 6-2 6-4 7-6
Her performance earned her a Young Artist Award .	Ce performance lui a permis d' obtenir un Young Artist Awards .	0-0 1-1 2-3 2-4 2-5 2-6 3-2 4-7 5-8 6-9 7-10 8-11
The list is published annually by Fortune magazine .	Cette liste est publiée annuellement par le magazine Fortune .	0-0 1-1 2-2 3-3 4-4 5-5 6-8 7-6 7-7 8-9
At the end of the Forum , the participants followed the tradition of attending the UEFA Champions League Final .	À la fin du Forum , les participants ont respecté la tradition en assistant à la finale de la Ligue des champions de l' UEFA .	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-7 9-8 9-9 10-10 11-11 12-12 13-13 14-15 15-22 15-23 15-24 16-20 16-21 17-17 17-18 17-19 18-16 19-25
